City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,18.44,82,0,3.09,US,1707835703
1,anan,33.9167,134.65,6.88,82,0,1.7,JP,1707835703
2,nar'yan-mar,67.6713,53.087,-29.38,98,71,3.58,RU,1707835704
3,malango,-2.9627,119.9001,20.78,98,100,0.66,ID,1707835704
4,karratha,-20.7377,116.8463,27.13,79,5,4.26,AU,1707835705
5,kapa'a,22.0752,-159.319,19.18,82,0,3.09,US,1707835705
6,coari,-4.085,-63.1414,28.05,81,91,2.86,BR,1707835706
7,longyearbyen,78.2186,15.6401,-6.09,63,0,6.17,SJ,1707835706
8,albany,42.6001,-73.9662,1.05,74,100,1.34,US,1707835677
9,cockburn town,21.4612,-71.1419,25.98,78,40,3.09,TC,1707835707
10,carutapera,-1.195,-46.02,25.5,91,100,1.94,BR,1707835708
11,thompson,55.7435,-97.8558,-8.91,92,100,2.06,CA,1707835709
12,avarua,-21.2078,-159.775,24.03,88,81,2.06,CK,1707835709
13,campbellton,48.0075,-66.6727,-6.75,79,51,5.17,CA,1707835710
14,cosala,24.4125,-106.6908,15.17,26,84,1.08,MX,1707835710
15,bethel,41.3712,-73.414,0.3,86,100,3.6,US,1707835494
16,el burgo de osma,41.5862,-3.0652,13.19,78,100,5.54,ES,1707835711
17,edinburgh of the seven seas,-37.0676,-12.3116,18.15,71,66,4.73,SH,1707835712
18,papatowai,-46.5619,169.4708,14.02,79,62,1.51,NZ,1707835712
19,sur,22.5667,59.5289,24.26,70,26,3.48,OM,1707835713
20,isafjordur,66.0755,-23.124,-0.98,69,40,3.09,IS,1707835713
21,grytviken,-54.2811,-36.5092,9.12,91,100,5.3,GS,1707835714
22,adamstown,-25.066,-130.1015,24.94,88,100,7.11,PN,1707835714
23,port-aux-francais,-49.35,70.2167,8.35,93,93,8.16,TF,1707835715
24,lebu,-37.6167,-73.65,15.3,75,4,7.94,CL,1707835715
25,nuku'alofa,-21.1333,-175.2,27.19,83,100,7.2,TO,1707835716
26,haiku-pauwela,20.9219,-156.3051,20.58,87,75,0.89,US,1707835716
27,west island,-12.1568,96.8225,28.99,74,40,5.66,CC,1707835717
28,puerto baquerizo moreno,-0.9,-89.6,26.55,94,40,3.6,EC,1707835717
29,port mathurin,-19.6833,63.4167,27.49,82,36,9.13,MU,1707835718
30,puerto ayora,-0.7393,-90.3518,27.53,95,74,3.58,EC,1707835718
31,wainwright,52.839,-110.8572,-7.82,93,94,5.63,CA,1707835718
32,waitangi,-43.9535,-176.5597,13.79,83,8,3.73,NZ,1707835719
33,piacabucu,-10.4056,-36.4344,30.33,62,100,4.95,BR,1707835719
34,tura,25.5198,90.2201,16.72,27,0,2.41,IN,1707835720
35,lutsk,50.7593,25.3424,7.34,89,100,2.68,UA,1707835720
36,iskateley,67.6803,53.1512,-29.43,98,69,3.58,RU,1707835721
37,whitehorse,60.7161,-135.0538,-6.57,79,100,2.06,CA,1707835721
38,selogiri,-7.7833,110.8667,25.63,90,62,1.24,ID,1707835722
39,selfoss,63.9331,-20.9971,-3.1,85,6,3.47,IS,1707835722
40,garissa,-0.4536,39.6401,36.56,26,45,5.72,KE,1707835723
41,uturoa,-16.7333,-151.4333,27.41,84,100,11.36,PF,1707835723
42,suzun,53.7841,82.3116,-10.71,90,100,3.88,RU,1707835724
43,stanley,54.868,-1.6985,6.82,86,75,0.51,GB,1707835724
44,kone,-21.0595,164.8658,24.27,90,0,2.07,NC,1707835725
45,hawaiian paradise park,19.5933,-154.9731,17.73,72,100,2.57,US,1707835725
46,kalmunai,7.4167,81.8167,25.57,88,23,4.68,LK,1707835725
47,punta arenas,-53.15,-70.9167,16.06,55,75,12.35,CL,1707835726
48,vilyuchinsk,52.9306,158.4028,-16.71,81,77,3.04,RU,1707835726
49,funafuti,-8.5243,179.1942,29.0,89,40,4.12,TV,1707835727
50,brevard,28.292,-80.7492,20.03,78,0,7.2,US,1707835706
51,belmonte,-15.8631,-38.8828,29.2,65,25,4.2,BR,1707835728
52,nemuro,43.3236,145.575,0.49,86,1,6.03,JP,1707835729
53,ronne,55.1009,14.7066,3.95,93,100,3.09,DK,1707835729
54,acajutla,13.5928,-89.8275,29.7,53,7,1.15,SV,1707835730
55,codrington,-38.2667,141.9667,15.54,48,71,8.83,AU,1707835730
56,tilcara,-23.5776,-65.3509,8.97,96,100,3.04,AR,1707835731
57,lamu,-2.2717,40.902,28.14,72,81,5.8,KE,1707835731
58,corner brook,48.9667,-57.9484,-1.91,90,99,3.91,CA,1707835507
59,ambovombe,-25.1667,46.0833,25.61,78,100,7.13,MG,1707835732
60,bilibino,68.0546,166.4372,-38.41,99,95,0.78,RU,1707835733
61,gomez farias,23.05,-99.15,19.3,49,74,1.28,MX,1707835733
62,capbreton,43.6422,-1.4282,20.21,62,66,0.35,FR,1707835734
63,olonkinbyen,70.9221,-8.7187,-1.23,99,100,3.7,SJ,1707835734
